,src1,src2,src3,src4,src5,src6,src7,src8,profile,ch,mass,quantile,sigma_v
186,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,500,0.32,6.555472305796622e-25
187,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,500,0.5,7.6832380968558225e-25
188,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,500,0.68,8.922491682895608e-25
189,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,500,0.95,1.3789303894438712e-24
190,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,1000,0.05,4.391786206848227e-25
191,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,1000,0.32,6.354630281829236e-25
192,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,1000,0.5,7.455539433479902e-25
193,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,1000,0.68,8.620055633751452e-25
194,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,1000,0.95,1.3900919271048575e-24
195,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,5000,0.05,5.931961243911315e-25
196,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,5000,0.32,9.100650932537103e-25
197,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,5000,0.5,1.0835036286353914e-24
198,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,5000,0.68,1.269166333915218e-24
199,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,5000,0.95,2.1206999456367704e-24
200,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,10000,0.05,8.303090419571956e-25
201,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,10000,0.32,1.2726036740604262e-24
202,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,10000,0.5,1.4943611417835942e-24
203,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,10000,0.68,1.769548606531939e-24
204,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,10000,0.95,2.883918321934139e-24
205,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,50000,0.05,3.072564865506905e-24
206,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,50000,0.32,4.522951061513411e-24
207,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,50000,0.5,5.4198820997248976e-24
208,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,50000,0.68,6.341213051969109e-24
209,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,50000,0.95,1.0158690691252764e-23
210,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,100000,0.05,5.306088255974308e-24
211,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,100000,0.32,8.286640832207575e-24
212,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,100000,0.5,9.927519309263606e-24
213,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,100000,0.68,1.1624894806285046e-23
214,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,100000,0.95,1.9863638898727846e-23
215,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,b,70,0.05,1.5735417524938809e-23
216,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,b,70,0.32,2.3549629621348252e-23
217,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,b,70,0.5,2.8096668105856163e-23
218,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,b,70,0.68,3.310282445414028e-23
219,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,b,70,0.95,5.0454571979587423e-23
