,src1,src2,profile,ch,mass,quantile,sigma_v
244,CBe,Wil1,Einasto,b,5000,0.95,2.08837506478997e-24
245,CBe,Wil1,Einasto,b,10000,0.05,8.404417553425134e-25
246,CBe,Wil1,Einasto,b,10000,0.32,1.3258936237749148e-24
247,CBe,Wil1,Einasto,b,10000,0.5,1.5905292172657026e-24
248,CBe,Wil1,Einasto,b,10000,0.68,1.8620395805473556e-24
249,CBe,Wil1,Einasto,b,10000,0.95,3.1437228982451247e-24
250,CBe,Wil1,Einasto,b,50000,0.05,2.378606669169672e-24
251,CBe,Wil1,Einasto,b,50000,0.32,3.830185440705167e-24
252,CBe,Wil1,Einasto,b,50000,0.5,4.557400607615311e-24
253,CBe,Wil1,Einasto,b,50000,0.68,5.5429967879381834e-24
254,CBe,Wil1,Einasto,b,50000,0.95,9.319474785672798e-24
255,CBe,Wil1,Einasto,b,100000,0.05,4.311104987629376e-24
256,CBe,Wil1,Einasto,b,100000,0.32,6.903403307252793e-24
257,CBe,Wil1,Einasto,b,100000,0.5,8.47000116048807e-24
258,CBe,Wil1,Einasto,b,100000,0.68,1.031215608355144e-23
259,CBe,Wil1,Einasto,b,100000,0.95,1.7275638610791944e-23
260,CBe,Wil1,Einasto,mu,70,0.05,4.14684725079583e-25
261,CBe,Wil1,Einasto,mu,70,0.32,6.397867829101207e-25
262,CBe,Wil1,Einasto,mu,70,0.5,7.5941650556225985e-25
263,CBe,Wil1,Einasto,mu,70,0.68,8.847441386249538e-25
264,CBe,Wil1,Einasto,mu,70,0.95,1.2980989172776715e-24
265,CBe,Wil1,Einasto,mu,100,0.05,3.437047728345748e-25
266,CBe,Wil1,Einasto,mu,100,0.32,5.367077528554098e-25
267,CBe,Wil1,Einasto,mu,100,0.5,6.340472711081786e-25
268,CBe,Wil1,Einasto,mu,100,0.68,7.594349073517452e-25
269,CBe,Wil1,Einasto,mu,100,0.95,1.1486660071063555e-24
270,CBe,Wil1,Einasto,mu,200,0.05,3.3037313969318966e-25
271,CBe,Wil1,Einasto,mu,200,0.32,5.168139927899231e-25
272,CBe,Wil1,Einasto,mu,200,0.5,6.210748838152761e-25
273,CBe,Wil1,Einasto,mu,200,0.68,7.360411034271432e-25
274,CBe,Wil1,Einasto,mu,200,0.95,1.1699584001738026e-24
275,CBe,Wil1,Einasto,mu,500,0.05,4.049539704906564e-25
276,CBe,Wil1,Einasto,mu,500,0.32,6.354050336468977e-25
277,CBe,Wil1,Einasto,mu,500,0.5,7.7420729873167745e-25
278,CBe,Wil1,Einasto,mu,500,0.68,9.406435338156347e-25
279,CBe,Wil1,Einasto,mu,500,0.95,1.4792311167808227e-24
280,CBe,Wil1,Einasto,mu,1000,0.05,5.248599616957085e-25
281,CBe,Wil1,Einasto,mu,1000,0.32,8.229349823060158e-25
282,CBe,Wil1,Einasto,mu,1000,0.5,9.984313821486995e-25
283,CBe,Wil1,Einasto,mu,1000,0.68,1.1981610812219004e-24
284,CBe,Wil1,Einasto,mu,1000,0.95,1.9742816036353053e-24
285,CBe,Wil1,Einasto,mu,5000,0.05,1.2152656531626252e-24
286,CBe,Wil1,Einasto,mu,5000,0.32,1.952868866552824e-24
287,CBe,Wil1,Einasto,mu,5000,0.5,2.3547406766182702e-24
288,CBe,Wil1,Einasto,mu,5000,0.68,2.86351663378828e-24
289,CBe,Wil1,Einasto,mu,5000,0.95,4.61984329394867e-24
290,CBe,Wil1,Einasto,mu,10000,0.05,2.4445715214868482e-24
291,CBe,Wil1,Einasto,mu,10000,0.32,3.8597513687258944e-24
292,CBe,Wil1,Einasto,mu,10000,0.5,4.7633719484383774e-24
293,CBe,Wil1,Einasto,mu,10000,0.68,5.77998427604121e-24
294,CBe,Wil1,Einasto,mu,10000,0.95,9.388478706576e-24
295,CBe,Wil1,Einasto,mu,50000,0.05,1.853355727917556e-23
296,CBe,Wil1,Einasto,mu,50000,0.32,2.885840966303481e-23
297,CBe,Wil1,Einasto,mu,50000,0.5,3.650079950304224e-23
298,CBe,Wil1,Einasto,mu,50000,0.68,4.4461909358706086e-23
299,CBe,Wil1,Einasto,mu,50000,0.95,7.301143990459023e-23
300,CBe,Wil1,Einasto,mu,100000,0.05,5.158421004242988e-23
301,CBe,Wil1,Einasto,mu,100000,0.32,8.027036728116161e-23
