,name,name2,name3,name4,name5,name6,name7,name8,profile,ch,mass,quantile,sigma_v
109,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,1000,0.95,6.366327916551028e-24
110,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,5000,0.05,3.9154635929780835e-24
111,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,5000,0.32,5.6774858902809325e-24
112,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,5000,0.5,7.274427835738472e-24
113,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,5000,0.68,9.157608563033565e-24
114,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,5000,0.95,1.5645349543154022e-23
115,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,10000,0.05,6.5105051090334576e-24
116,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,10000,0.32,1.0400377208174871e-23
117,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,10000,0.5,1.329677121950167e-23
118,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,10000,0.68,1.73702358293404e-23
119,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,10000,0.95,2.537039360621732e-23
120,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,50000,0.05,4.6191579509588715e-23
121,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,50000,0.32,7.41927159477369e-23
122,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,50000,0.5,9.466702415348232e-23
123,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,50000,0.68,1.165880029480917e-22
124,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,50000,0.95,1.9018438715837189e-22
125,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100000,0.05,1.1695118621695177e-22
126,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100000,0.32,2.1639334335037e-22
127,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100000,0.5,2.5856188613642504e-22
128,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100000,0.68,3.1593687375044683e-22
129,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100000,0.95,5.202370018448e-22
130,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,70,0.05,4.081919439263087e-25
131,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,70,0.32,6.813102370037333e-25
132,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,70,0.5,8.837331239866449e-25
133,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,70,0.68,1.0629707617558436e-24
134,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,70,0.95,1.9341948583675324e-24
135,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100,0.05,2.841165631205261e-25
136,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100,0.32,4.176762254934941e-25
137,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100,0.5,5.018629904999581e-25
138,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100,0.68,6.500013861156761e-25
139,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100,0.95,1.331202458322636e-24
140,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,200,0.05,1.8486768838488788e-25
141,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,200,0.32,2.99581101534738e-25
142,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,200,0.5,3.661799223540488e-25
143,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,200,0.68,4.369079453198339e-25
144,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,200,0.95,7.6539904375590605e-25
145,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,500,0.05,2.5253761492770047e-25
146,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,500,0.32,4.0993065528315543e-25
147,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,500,0.5,4.886447138163408e-25
148,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,500,0.68,5.700782321886868e-25
149,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,500,0.95,1.300802738987793e-24
150,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,1000,0.05,3.5745647814221133e-25
151,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,1000,0.32,5.588373459195376e-25
152,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,1000,0.5,6.667252002205499e-25
153,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,1000,0.68,7.973776579534627e-25
154,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,1000,0.95,1.1634258169838958e-24
155,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,5000,0.05,8.1644846905578065e-25
156,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,5000,0.32,1.2674897692149835e-24
157,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,5000,0.5,1.63887825914898e-24
158,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,5000,0.68,2.1985415696512062e-24
159,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,5000,0.95,3.471084011409876e-24
160,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,10000,0.05,1.5126587774923796e-24
161,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,10000,0.32,2.208728640930648e-24
162,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,10000,0.5,3.0086310523002467e-24
163,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,10000,0.68,3.59724178863546e-24
164,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,10000,0.95,6.079775363210009e-24
165,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,50000,0.05,8.311779977003575e-24
166,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,50000,0.32,1.376047127015328e-23
167,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,50000,0.5,1.6710128865832303e-23
168,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,50000,0.68,2.0409704775335748e-23
169,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,50000,0.95,3.600897285427204e-23
170,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100000,0.05,2.190774459263614e-23
171,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100000,0.32,3.7467654307883953e-23
172,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100000,0.5,4.321304640095956e-23
173,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100000,0.68,5.735978921684962e-23
174,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100000,0.95,1.1085532834164852e-22
