,src1,src2,profile,ch,mass,quantile,tau
345,UMi,CBe,Einasto,tau,10000,0.05,7.540191438636183e+27
346,UMi,CBe,Einasto,tau,10000,0.32,8.236026427688561e+27
347,UMi,CBe,Einasto,tau,10000,0.5,8.429915736983025e+27
348,UMi,CBe,Einasto,tau,10000,0.68,8.57163086507287e+27
349,UMi,CBe,Einasto,tau,10000,0.95,8.863902516755086e+27
350,UMi,CBe,Einasto,tau,50000,0.05,6.062046964661885e+27
351,UMi,CBe,Einasto,tau,50000,0.32,7.124123937361051e+27
352,UMi,CBe,Einasto,tau,50000,0.5,7.45589522336129e+27
353,UMi,CBe,Einasto,tau,50000,0.68,7.730347171931217e+27
354,UMi,CBe,Einasto,tau,50000,0.95,8.230352066842945e+27
355,UMi,CBe,Einasto,tau,100000,0.05,4.633850855160979e+27
356,UMi,CBe,Einasto,tau,100000,0.32,5.651607535269428e+27
357,UMi,CBe,Einasto,tau,100000,0.5,6.127122163370842e+27
358,UMi,CBe,Einasto,tau,100000,0.68,6.544032775445895e+27
359,UMi,CBe,Einasto,tau,100000,0.95,7.271687535143747e+27
