,src1,src2,src3,src4,src5,src6,src7,src8,profile,ch,mass,quantile,tau
116,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,10000,0.32,4.13171863252602e+26
117,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,10000,0.5,4.952244089799916e+26
118,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,10000,0.68,5.720705929494025e+26
119,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,10000,0.95,8.89244536665096e+26
120,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,50000,0.05,1.7938467488672422e+26
121,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,50000,0.32,2.9005014701711634e+26
122,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,50000,0.5,3.421381125489059e+26
123,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,50000,0.68,4.4380709437209165e+26
124,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,50000,0.95,7.651442004726435e+26
125,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100000,0.05,1.214369113694705e+26
126,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100000,0.32,2.051609508679314e+26
127,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100000,0.5,2.5244846420752293e+26
128,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100000,0.68,2.9088049170238954e+26
129,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100000,0.95,4.7101646427743035e+26
130,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,70,0.05,5.75190547173746e+25
131,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,70,0.32,6.994981796873652e+25
132,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,70,0.5,7.708433877810919e+25
133,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,70,0.68,8.54973127328792e+25
134,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,70,0.95,1.0762453828908053e+26
135,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100,0.05,1.175567051746191e+26
136,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100,0.32,1.4597250594699332e+26
137,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100,0.5,1.570586453410682e+26
138,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100,0.68,1.7143301995845296e+26
139,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100,0.95,2.1041854075989008e+26
140,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,200,0.05,2.5607340852318852e+26
141,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,200,0.32,3.1559218638908734e+26
142,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,200,0.5,3.788317512854878e+26
143,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,200,0.68,4.293493175096746e+26
144,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,200,0.95,5.712956857071953e+26
145,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,500,0.05,5.217764202177804e+26
146,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,500,0.32,6.11552693275431e+26
147,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,500,0.5,6.676521182161787e+26
148,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,500,0.68,7.855867343217389e+26
149,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,500,0.95,1.0171053272841422e+27
150,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,1000,0.05,6.677634930198457e+26
151,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,1000,0.32,8.972557546123964e+26
152,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,1000,0.5,9.853618205923043e+26
153,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,1000,0.68,1.1347709957703181e+27
154,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,1000,0.95,1.5930122310994766e+27
155,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,5000,0.05,1.1633155673042475e+27
156,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,5000,0.32,1.5710853614862383e+27
157,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,5000,0.5,1.855177569416651e+27
158,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,5000,0.68,2.251930409942469e+27
159,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,5000,0.95,3.651346872799043e+27
160,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,10000,0.05,1.2584253539685524e+27
161,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,10000,0.32,1.895905456534237e+27
162,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,10000,0.5,2.2338684938187435e+27
163,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,10000,0.68,2.6596670420252946e+27
164,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,10000,0.95,3.9667313796929173e+27
165,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,50000,0.05,9.082630570946538e+26
166,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,50000,0.32,1.4685638431193925e+27
167,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,50000,0.5,1.8070268861016936e+27
168,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,50000,0.68,2.2724874887774915e+27
169,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,50000,0.95,4.3918488739611595e+27
170,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100000,0.05,6.716426105109074e+26
171,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100000,0.32,1.1009019978740627e+27
172,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100000,0.5,1.2865270876367436e+27
173,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100000,0.68,1.6370036567435503e+27
174,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,tau,100000,0.95,3.0405590514845903e+27
